ACT21467,Influenza A virus (A/New York/537/1998(H3N2))
ACT21468,Influenza A virus (A/New York/537/1998(H3N2))
ACT21469,Influenza A virus (A/New York/537/1998(H3N2))
ACT21470,Influenza A virus (A/New York/537/1998(H3N2))
ACT21471,Influenza A virus (A/New York/537/1998(H3N2))
ACT21472,Influenza A virus (A/New York/537/1998(H3N2))
ABM22312,Influenza A virus (A/New York/900/2004(H3N2))
ABM22323,Influenza A virus (A/New York/900/2004(H3N2))
ABM22334,Influenza A virus (A/New York/900/2004(H3N2))
ABN50984,Influenza A virus (A/New York/900/2004(H3N2))
ABM66930,Influenza A virus (A/New York/908/2004(H3N2))
ABM66941,Influenza A virus (A/New York/908/2004(H3N2))
ABN50995,Influenza A virus (A/New York/908/2004(H3N2))
ABQ44427,Influenza A virus (A/New York/908/2004(H3N2))
ABM66996,Influenza A virus (A/New York/918/2005(H3N2))
ABM67007,Influenza A virus (A/New York/918/2005(H3N2))
ABM67018,Influenza A virus (A/New York/918/2005(H3N2))
ABO32827,Influenza A virus (A/New York/918/2005(H3N2))
ABO32838,Influenza A virus (A/New York/923/2006(H3N2))
ABO32849,Influenza A virus (A/New York/923/2006(H3N2))
ABO32860,Influenza A virus (A/New York/923/2006(H3N2))
ABO38274,Influenza A virus (A/New York/923/2006(H3N2))
ABN51021,Influenza A virus (A/New York/928/2006(H3N2))
ABN59390,Influenza A virus (A/New York/928/2006(H3N2))
ABO32871,Influenza A virus (A/New York/928/2006(H3N2))
ABO32882,Influenza A virus (A/New York/928/2006(H3N2))
ABN51032,Influenza A virus (A/New York/933/2006(H3N2))
ABN51043,Influenza A virus (A/New York/933/2006(H3N2))
ABO32893,Influenza A virus (A/New York/933/2006(H3N2))
ABO32904,Influenza A virus (A/New York/933/2006(H3N2))
ABO32915,Influenza A virus (A/New York/938/2006(H3N2))
ABO32926,Influenza A virus (A/New York/938/2006(H3N2))
ABO32937,Influenza A virus (A/New York/938/2006(H3N2))
ABO38285,Influenza A virus (A/New York/938/2006(H3N2))
