"AAA43283","566","Human","HA","H1N1","USA","N","1991","Influenza A Virus (A/Maryland/12/1991(H1N1))","","c"
"AAA43283","566","Human","HA","H1N1","USA","N","1991","Influenza A Virus (A/Maryland/12/1991(H1N1))","","c"
"ABP49327","566","Human","HA","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","c"
"ABP49327","566","Human","HA","H1N1","USA","N","1945","Influenza A virus (A/AA/Huston/1945(H1N1))","","","","c"
"ABO38054","566","Human","HA","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","c"
"ABO38054","566","Human","HA","H1N1","USA","N","1943","Influenza A virus (A/AA/Marton/1943(H1N1))","","","","c"
"ACA33788","565","Human","HA","H1N1","USA","N","2007/12/03","Influenza A virus (A/Alaska/11/2007(H1N1))","","","","c"
"ACA33788","565","Human","HA","H1N1","USA","N","2007/12/03","Influenza A virus (A/Alaska/11/2007(H1N1))","","","","c"
"ACA33790","565","Human","HA","H1N1","USA","N","2007/12/04","Influenza A virus (A/Alaska/13/2007(H1N1))","","","","c"
"ACA33790","565","Human","HA","H1N1","USA","N","2007/12/04","Influenza A virus (A/Alaska/13/2007(H1N1))","","","","c"
"ABN59412","565","Human","HA","H1N1","USA","N","1935","Influenza A virus (A/Alaska/1935(H1N1))","","","","c"
"ABN59412","565","Human","HA","H1N1","USA","N","1935","Influenza A virus (A/Alaska/1935(H1N1))","","","","c"
"ABP49481","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/12/1951(H1N1))","","","","c"
"ABP49481","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/12/1951(H1N1))","","","","c"
"ABQ44471","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/14/1951(H1N1))","","","","c"
"ABQ44471","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/14/1951(H1N1))","","","","c"
"ABQ01311","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/1618/1951(H1N1))","","","","c"
"ABQ01311","566","Human","HA","H1N1","USA","N","1951","Influenza A virus (A/Albany/1618/1951(H1N1))","","","","c"
"ABP49448","566","Human","HA","H1N1","USA","N","1978","Influenza A virus (A/Albany/20/1978(H1N1))","","","","c"
"ABP49448","566","Human","HA","H1N1","USA","N","1978","Influenza A virus (A/Albany/20/1978(H1N1))","","","","c"
"ABN59401","566","Human","HA","H1N1","USA","N","1948","Influenza A virus (A/Albany/4835/1948(H1N1))","","","","c"
"ABN59401","566","Human","HA","H1N1","USA","N","1948","Influenza A virus (A/Albany/4835/1948(H1N1))","","","","c"
"ABP49316","566","Human","HA","H1N1","USA","N","1950","Influenza A virus (A/Albany/4836/1950(H1N1))","","","","c"
"ABP49316","566","Human","HA","H1N1","USA","N","1950","Influenza A virus (A/Albany/4836/1950(H1N1))","","","","c"
"ABW36311","566","Human","HA","H1N1","USA","N","1979","Influenza A virus (A/Albany/8/1979(H1N1))","","","","c"
"ABW36311","566","Human","HA","H1N1","USA","N","1979","Influenza A virus (A/Albany/8/1979(H1N1))","","","","c"
"ACA33777","565","Human","HA","H1N1","USA","N","2007/12/06","Influenza A virus (A/Arizona/03/2007(H1N1))","","","","c"
"ACA33777","565","Human","HA","H1N1","USA","N","2007/12/06","Influenza A virus (A/Arizona/03/2007(H1N1))","","","","c"
"ACB11784","565","Human","HA","H1N1","USA","N","2007/11/14","Influenza A virus (A/Arizona/04/2007(H1N1))","","","","c"
"ACB11784","565","Human","HA","H1N1","USA","N","2007/11/14","Influenza A virus (A/Arizona/04/2007(H1N1))","","","","c"
"ACA33780","565","Human","HA","H1N1","USA","N","2007/12/02","Influenza A virus (A/Arizona/07/2007(H1N1))","","","","c"
"ACA33780","565","Human","HA","H1N1","USA","N","2007/12/02","Influenza A virus (A/Arizona/07/2007(H1N1))","","","","c"
"ACH82079","565","Human","HA","H1N1","USA","N","2007/12/12","Influenza A virus (A/Arizona/13/2007(H1N1))","","","","c"
"ACH82079","565","Human","HA","H1N1","USA","N","2007/12/12","Influenza A virus (A/Arizona/13/2007(H1N1))","","","","c"
"ABN59423","566","Human","HA","H1N1","USA","N","1978","Influenza A virus (A/Arizona/14/1978(H1N1))","","","","c"
"ABN59423","566","Human","HA","H1N1","USA","N","1978","Influenza A virus (A/Arizona/14/1978(H1N1))","","","","c"
"ABW23343","565","Human","HA","H1N1","USA","N","2007/07/19","Influenza A virus (A/Arkansas/01/2007(H1N1))","","","","c"
"ABW23343","565","Human","HA","H1N1","USA","N","2007/07/19","Influenza A virus (A/Arkansas/01/2007(H1N1))","","","","c"
"ABR15896","565","Human","HA","H1N1","New Zealand","S","2000/09/06","Influenza A virus (A/Auckland/580/2000(H1N1))","15 Y","M","","c"
"ABR15896","565","Human","HA","H1N1","New Zealand","S","2000/09/06","Influenza A virus (A/Auckland/580/2000(H1N1))","15 Y","M","","c"
"ABU80298","565","Human","HA","H1N1","New Zealand","S","2000/09/13","Influenza A virus (A/Auckland/584/2000(H1N1))","23 Y","M","","c"
